Designator,Footprint,Quantity,Value,LCSC Part #
ATGM336H1,ATGM336H,1,~,
BT1,MSR421R,1,MS421R,
"C1, C2, C21, C29, C3, C32, C6",0603,7,1uF,
"C10, C17",0402,2,100nF,
C11,0402,1,1uF,
"C12, C18, C20, C31, C7, C8, C9",0603,7,100nF,
"C13, C14",0603,2,12pF,
"C15, C16",0603,2,1.8pF,
"C19, C5",0603,2,10uF,
C22,0402,1,47nF,
C23,0402,1,470nF,
C24,0402,1,47pF,
"C25, C26",0402,2,1nF,
C27,0402,1,39pF,
C28,0402,1,10pF,
C4,0603,1,10nF,
D1,D_SOD-123,1,MBR0540,
D2,D_MicroMELF,1,MCL4148,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Battery,
"J3, J5",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial,
J4,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,1,Display Connector,
L2,0402,1,22nH,
L3,0603,1,2.4nH,
"L4, L6",0402,2,47nH,
L5,0805,1,15uH,
L7,0603,1,2.0nH,
Q1_Xtal1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0MHz,
"R10, R11, R13, R15, R18, R4, R7, R9",0603,8,10k,
R12,0603,1,2k,
"R14, R5",0805,2,2k,
"R16, R22",0402,2,100R,
R17,0402,1,220R,
"R19, R2, R20, R3",0603,4,5.1k,
R21,0603,1,10,
R6,0603,1,100k,
SW1,vert_button_6mm,1,BOOT,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,EN,
"U1, U8, U9",SOT95P240X105-3N,3,DMG3415U-7,DMG3415U-7
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U11,Texas_SWRA117D_2.4GHz_Left,1,~,
U12,BM14B(0.8)-24DS-0.4V(53),1,BBQ10KBD,
U13,RTW24_2P45X2P45,1,TCA8418RTWR,
U14,SOP65P490X110-8N,1,24AA32AF-I_MS,24AA32AF-I/MS
U17,21-0168E_T822-3_MXM,1,MAX17048G+T10,
U18,SC-70-6_PSM,1,PE4259,
"U19, U6",XDFN8_1P6X1P2_ONS,2,NCP186AMX330TAG,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,
U4,SOT-23-6,1,USBLC6-2SC6,
U5,SOT-23-5,1,MCP73831-2-OT,
X1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,40MHz,
