Designator,Mid X,Mid Y,Rotation,Layer
ATGM336H1,163.45,-91.16,0.0,top
BT1,171.21,-107.13,90.0,top
C1,135.41,-113.9,0.0,top
C10,165.93,-69.06,90.0,top
C11,167.54,-69.06,90.0,top
C12,129.31,-75.76,270.0,top
C13,140.23,-63.5775,180.0,top
C14,140.405,-58.3825,0.0,top
C15,134.86,-58.92,0.0,top
C16,138.12,-55.93,315.0,top
C17,172.83,-77.02,0.0,top
C18,112.425,-58.89,180.0,top
C19,174.28,-78.75,0.0,top
C2,129.41,-114.735,270.0,top
C20,174.81,-76.54,270.0,top
C21,120.88,-50.29,0.0,top
C22,168.39,-65.95,180.0,top
C23,169.82,-76.47,0.0,top
C24,168.39,-64.54,180.0,top
C25,173.65,-59.94,0.0,top
C26,169.11,-60.63,180.0,top
C27,171.6,-59.57,90.0,top
C28,166.68,-72.75,270.0,top
C3,119.57,-68.525,90.0,top
C4,120.55,-71.235,0.0,top
C5,120.545,-72.795,0.0,top
C6,122.86,-73.585,90.0,top
C7,121.285,-61.05,180.0,top
C8,141.32,-55.74,180.0,top
C9,119.805,-62.66,0.0,top
D1,129.28,-106.7225,270.0,top
D2,164.82,-105.1,180.0,top
FL1,171.27,-64.19,90.0,top
J1,142.80399,-118.555425,0.0,top
J2,121.79,-87.52,180.0,top
J3,156.54,-82.15,90.0,top
J4,150.0,-65.72,270.0,top
J5,171.42,-50.26,0.0,top
L1,132.16,-55.79,180.0,top
L3,135.17,-56.55,45.0,top
L4,161.45,-80.735,90.0,top
L5,169.92,-78.78,180.0,top
L6,169.72,-67.6,0.0,top
Q1_Xtal1,164.38,-72.74,0.0,top
R1,137.57,-61.0225,270.0,top
R10,143.02,-86.88,270.0,top
R11,119.49,-56.03,0.0,top
R12,151.15,-77.23,180.0,top
R13,157.8,-76.41,180.0,top
R14,141.72,-80.76,90.0,top
R15,142.09,-84.06,180.0,top
R16,169.09,-61.71,180.0,top
R17,167.72,-72.76,270.0,top
R18,171.31,-91.21,0.0,top
R19,124.94,-111.55,180.0,top
R2,148.155,-105.68,180.0,top
R20,124.94,-109.04,180.0,top
R3,148.13,-108.29,0.0,top
R4,128.53,-117.11,0.0,top
R5,133.06,-94.25,90.0,top
R6,138.19,-107.52,90.0,top
R7,121.8,-52.51,180.0,top
R8,157.62,-58.93,90.0,top
R9,145.43,-86.13,0.0,top
SW1,111.855,-65.71,270.0,top
SW2,116.33,-50.23,0.0,top
U1,145.81,-82.62,0.0,top
U10,135.69,-73.08,90.0,top
U12,151.97,-91.599,270.0,top
U13,145.5,-91.3,0.0,top
U14,163.39,-98.59,180.0,top
U17,122.92,-114.89,0.0,top
U2,130.76,-64.26,0.0,top
U3,171.35,-72.59,90.0,top
U4,142.6775,-109.31,270.0,top
U5,132.0525,-90.04,90.0,top
U6,171.61,-61.39,90.0,top
U7,132.19,-114.82,0.0,top
U8,133.69,-107.41,180.0,top
U9,157.8048,-73.004,90.0,top
X1,140.285,-60.9525,180.0,top
